utterance_id,activation,valence,dominance,activation_norm,valence_norm,dominance_norm,source_file,emotion
Ses01F_script01_1_M029,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M030,1,4,5,0.0,0.75,1.0,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_M031,4,4,2,0.75,0.75,0.25,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_M032,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M033,3,4,4,0.5,0.75,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M034,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M035,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M036,2,3,3,0.25,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M037,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M038,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M039,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M040,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M041,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M042,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M043,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_impro01_F000,4,3,2,0.75,0.5,0.25,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_F001,4,3,2,0.75,0.5,0.25,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_F002,4,3,2,0.75,0.5,0.25,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_F003,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F004,3,3,2,0.5,0.5,0.25,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F005,3,3,2,0.5,0.5,0.25,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F006,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F007,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F008,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F009,3,4,2,0.5,0.75,0.25,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F010,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F011,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F012,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F013,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F014,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_F015,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M000,4,3,2,0.75,0.5,0.25,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_M001,4,3,2,0.75,0.5,0.25,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_M002,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M003,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M004,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M005,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M006,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M007,3,3,2,0.5,0.5,0.25,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M008,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M009,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M010,2,4,3,0.25,0.75,0.5,Ses01F_impro01_e3_atr.txt,content
Ses01F_impro01_M011,3,3,3,0.5,0.5,0.5,Ses01F_impro01_e3_atr.txt,happy
Ses01F_impro01_M012,5,3,1,1.0,0.5,0.0,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_M013,2,3,4,0.25,0.5,0.75,Ses01F_impro01_e3_atr.txt,neutral
Ses01F_impro01_F000,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e4_atr.txt,happy
Ses01F_impro01_F001,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e4_atr.txt,happy
Ses01F_impro01_F002,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e4_atr.txt,happy
Ses01F_impro01_F003,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e4_atr.txt,happy
Ses01F_impro01_F004,3,4,3,0.5,0.75,0.5,Ses01F_impro01_e4_atr.txt,happy
Ses01F_impro01_F005,2,4,2,0.25,0.75,0.25,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F006,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F007,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F008,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F009,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F010,2,5,4,0.25,1.0,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F011,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F012,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F013,1,4,4,0.0,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F014,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_F015,2,5,3,0.25,1.0,0.5,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M000,4,4,3,0.75,0.75,0.5,Ses01F_impro01_e4_atr.txt,excited
Ses01F_impro01_M001,4,4,3,0.75,0.75,0.5,Ses01F_impro01_e4_atr.txt,excited
Ses01F_impro01_M002,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M003,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M004,1,4,4,0.0,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M005,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M006,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M007,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M008,2,4,4,0.25,0.75,0.75,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M009,2,4,5,0.25,0.75,1.0,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M010,1,4,5,0.0,0.75,1.0,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M011,1,5,5,0.0,1.0,1.0,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro01_M012,4,3,3,0.75,0.5,0.5,Ses01F_impro01_e4_atr.txt,neutral
Ses01F_impro01_M013,1,5,5,0.0,1.0,1.0,Ses01F_impro01_e4_atr.txt,content
Ses01F_impro02_F000,5,3,1,1.0,0.5,0.0,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F001,5,4,1,1.0,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F002,5,4,1,1.0,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F003,5,4,2,1.0,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F004,5,3,2,1.0,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F005,5,4,2,1.0,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F006,4,3,2,0.75,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F007,3,4,2,0.5,0.75,0.25,Ses01F_impro02_e3_atr.txt,happy
Ses01F_impro02_F008,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F009,5,4,1,1.0,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F010,5,4,1,1.0,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F011,4,3,2,0.75,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F012,4,3,1,0.75,0.5,0.0,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F013,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F014,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F015,4,4,2,0.75,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F016,5,4,2,1.0,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F017,4,3,2,0.75,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F018,4,3,2,0.75,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F019,5,3,1,1.0,0.5,0.0,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_F020,4,2,2,0.75,0.25,0.25,Ses01F_impro02_e3_atr.txt,afraid
Ses01F_impro02_M000,4,4,2,0.75,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M001,4,4,2,0.75,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M002,4,3,2,0.75,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_M003,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M004,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M005,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M006,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M007,3,4,2,0.5,0.75,0.25,Ses01F_impro02_e3_atr.txt,happy
Ses01F_impro02_M008,5,3,1,1.0,0.5,0.0,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_M009,5,4,2,1.0,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M010,5,4,1,1.0,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M011,5,3,2,1.0,0.5,0.25,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_M012,4,3,1,0.75,0.5,0.0,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_M013,4,4,1,0.75,0.75,0.0,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_M014,3,4,2,0.5,0.75,0.25,Ses01F_impro02_e3_atr.txt,happy
Ses01F_impro02_M015,4,3,1,0.75,0.5,0.0,Ses01F_impro02_e3_atr.txt,neutral
Ses01F_impro02_M016,5,4,2,1.0,0.75,0.25,Ses01F_impro02_e3_atr.txt,excited
Ses01F_impro02_F000,3,4,2,0.5,0.75,0.25,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F001,4,4,2,0.75,0.75,0.25,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F002,4,4,2,0.75,0.75,0.25,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F003,3,4,2,0.5,0.75,0.25,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F004,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F005,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F006,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F007,2,4,4,0.25,0.75,0.75,Ses01F_impro02_e4_atr.txt,content
Ses01F_impro02_F008,4,5,2,0.75,1.0,0.25,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F009,4,5,3,0.75,1.0,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F010,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F011,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F012,4,2,2,0.75,0.25,0.25,Ses01F_impro02_e4_atr.txt,afraid
Ses01F_impro02_F013,4,5,3,0.75,1.0,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F014,4,5,3,0.75,1.0,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F015,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F016,5,4,3,1.0,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F017,2,2,3,0.25,0.25,0.5,Ses01F_impro02_e4_atr.txt,sad
Ses01F_impro02_F018,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_F019,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_F020,4,2,3,0.75,0.25,0.5,Ses01F_impro02_e4_atr.txt,neutral
Ses01F_impro02_M000,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_M001,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_M002,2,4,3,0.25,0.75,0.5,Ses01F_impro02_e4_atr.txt,content
Ses01F_impro02_M003,2,4,3,0.25,0.75,0.5,Ses01F_impro02_e4_atr.txt,content
Ses01F_impro02_M004,2,4,3,0.25,0.75,0.5,Ses01F_impro02_e4_atr.txt,content
Ses01F_impro02_M005,2,4,2,0.25,0.75,0.25,Ses01F_impro02_e4_atr.txt,content
Ses01F_impro02_M006,2,4,2,0.25,0.75,0.25,Ses01F_impro02_e4_atr.txt,content
Ses01F_impro02_M007,3,4,3,0.5,0.75,0.5,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_M008,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_M009,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_M010,3,4,2,0.5,0.75,0.25,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_M011,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_M012,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_M013,4,5,3,0.75,1.0,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro02_M014,3,5,1,0.5,1.0,0.0,Ses01F_impro02_e4_atr.txt,happy
Ses01F_impro02_M015,2,3,2,0.25,0.5,0.25,Ses01F_impro02_e4_atr.txt,neutral
Ses01F_impro02_M016,4,4,3,0.75,0.75,0.5,Ses01F_impro02_e4_atr.txt,excited
Ses01F_impro03_F000,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F001,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F002,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F003,2,1,4,0.25,0.0,0.75,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F004,2,1,3,0.25,0.0,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F005,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F006,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F007,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F008,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F009,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F010,3,2,4,0.5,0.25,0.75,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F011,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F012,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F013,2,1,4,0.25,0.0,0.75,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F014,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F015,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F016,3,2,2,0.5,0.25,0.25,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F017,3,3,3,0.5,0.5,0.5,Ses01F_impro03_e1_atr.txt,happy
Ses01F_impro03_F018,3,3,2,0.5,0.5,0.25,Ses01F_impro03_e1_atr.txt,happy
Ses01F_impro03_F019,4,3,2,0.75,0.5,0.25,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F020,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F021,2,3,3,0.25,0.5,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F022,3,3,2,0.5,0.5,0.25,Ses01F_impro03_e1_atr.txt,happy
Ses01F_impro03_F023,4,3,2,0.75,0.5,0.25,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_F024,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F025,2,2,4,0.25,0.25,0.75,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_F026,1,1,4,0.0,0.0,0.75,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_M000,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_M001,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_M002,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
Ses01F_impro03_M003,1,1,4,0.0,0.0,0.75,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_M004,2,2,3,0.25,0.25,0.5,Ses01F_impro03_e1_atr.txt,sad
Ses01F_impro03_M005,3,2,3,0.5,0.25,0.5,Ses01F_impro03_e1_atr.txt,neutral
